usage_date_utc,model_version,api_key,workspace,usage_type,context_window,usage_input_tokens_no_cache,usage_input_tokens_cache_write_5m,usage_input_tokens_cache_write_1h,usage_input_tokens_cache_read,usage_output_tokens,web_search_count
2025-08-03,claude-3-5-sonnet-20240620,console,Default,standard,≤ 200k,2895,25988,0,0,3002,0
2025-08-03,claude-sonnet-4-20250514,console,Default,standard,≤ 200k,3112,0,0,0,1054,0
2025-08-07,claude-3-5-sonnet-20240620,console,Default,standard,≤ 200k,522,6497,0,0,543,0
2025-08-07,claude-sonnet-4-20250514,console,Default,standard,≤ 200k,989,0,0,0,742,0
2025-08-13,claude-3-5-haiku-20241022,meterr,Default,standard,≤ 200k,12,0,0,0,34,0
2025-08-13,claude-3-5-sonnet-20241022,meterr,Default,standard,≤ 200k,1001,0,0,0,4822,0
2025-08-13,claude-3-haiku-20240307,SpendCharm3,Default,standard,≤ 200k,80,0,0,0,40,0
2025-08-13,claude-3-haiku-20240307,meterr,Default,standard,≤ 200k,12,0,0,0,58,0
2025-08-13,claude-opus-4-1-20250805,meterr,Default,standard,≤ 200k,11746,0,0,0,50828,0
2025-08-14,claude-3-5-sonnet-20241022,meterr,Default,standard,≤ 200k,684,0,0,0,4031,0
2025-08-14,claude-sonnet-4-20250514,console,Default,standard,≤ 200k,678,0,0,0,725,0
